"tube","strain","time","od600"
10,"TK2304",9,0.572
11,"TK2304",9,0.504
12,"TK2304",9,0.485
13,"TK0704",9,0.672
14,"TK0704",9,0.653
15,"TK0704",9,0.623
16,"TK0729",9,0.471
17,"TK0729",9,0.502
18,"TK0729",9,0.544
19,"TK1273",9,0.636
20,"TK1273",9,0.669
21,"TK1273",9,0.64
22,"TK1917",9,0.47
23,"TK1917",9,0.291
24,"TK1917",9,0.286
25,"TK2122",9,0.603
26,"TK2122",9,0.518
27,"TK2122",9,0.679
28,"TK2241",9,0.671
29,"TK2241",9,0.581
30,"TK2241",9,0.561
"n1","control",10,0.004
"n2","control",10,0
"n3","control",10,0
1,"TS559",10,0.419
2,"TS559",10,0.452
3,"TS559",10,0.556
4,"TK0008",10,0.506
5,"TK0008",10,0.475
6,"TK0008",10,0.57
7,"TK0224",10,0.512
8,"TK0224",10,0.577
9,"TK0224",10,0.536
10,"TK2304",10,0.616
11,"TK2304",10,0.534
12,"TK2304",10,0.608
13,"TK0704",10,0.637
14,"TK0704",10,0.699
15,"TK0704",10,0.663
16,"TK0729",10,0.46
17,"TK0729",10,0.461
18,"TK0729",10,0.515
19,"TK1273",10,0.732
20,"TK1273",10,0.735
21,"TK1273",10,0.708
22,"TK1917",10,0.592
23,"TK1917",10,0.357
24,"TK1917",10,0.406
25,"TK2122",10,0.689
26,"TK2122",10,0.633
27,"TK2122",10,0.78
28,"TK2241",10,0.684
29,"TK2241",10,0.638
30,"TK2241",10,0.628
"n1","control",11,0.007
"n2","control",11,0
"n3","control",11,0
1,"TS559",11,0.428
2,"TS559",11,0.47
3,"TS559",11,0.568
4,"TK0008",11,0.511
5,"TK0008",11,0.497
6,"TK0008",11,0.577
7,"TK0224",11,0.561
8,"TK0224",11,0.611
9,"TK0224",11,0.536
10,"TK2304",11,0.636
11,"TK2304",11,0.536
12,"TK2304",11,0.7
13,"TK0704",11,0.648
14,"TK0704",11,0.708
15,"TK0704",11,0.663
16,"TK0729",11,0.426
17,"TK0729",11,0.476
18,"TK0729",11,0.491
19,"TK1273",11,0.715
20,"TK1273",11,0.738
21,"TK1273",11,0.733
22,"TK1917",11,0.531
23,"TK1917",11,0.462
24,"TK1917",11,0.44
25,"TK2122",11,0.702
26,"TK2122",11,0.699
27,"TK2122",11,0.774
28,"TK2241",11,0.729
29,"TK2241",11,0.682
30,"TK2241",11,0.95
"n1","control",12,0
"n2","control",12,0
"n3","control",12,0
1,"TS559",12,0.455
2,"TS559",12,0.468
3,"TS559",12,0.604
4,"TK0008",12,0.497
5,"TK0008",12,0.51
6,"TK0008",12,0.571
7,"TK0224",12,0.521
8,"TK0224",12,0.548
9,"TK0224",12,0.528
10,"TK2304",12,0.631
11,"TK2304",12,0.513
12,"TK2304",12,0.706
13,"TK0704",12,0.639
14,"TK0704",12,0.71
15,"TK0704",12,0.715
16,"TK0729",12,0.431
17,"TK0729",12,0.472
18,"TK0729",12,0.438
19,"TK1273",12,0.728
20,"TK1273",12,0.713
21,"TK1273",12,0.706
22,"TK1917",12,0.573
23,"TK1917",12,0.571
24,"TK1917",12,0.458
25,"TK2122",12,0.708
26,"TK2122",12,0.717
27,"TK2122",12,0.731
28,"TK2241",12,0.745
29,"TK2241",12,0.691
30,"TK2241",12,0.681
